Ticker,Company Name,Net Cash from / (used in) Operating Activities,Net Cash from / (used in) Investing Activities,Net Cash from / (used in) Financing Activities,Cash and Cash Equivalents at End of Period, Cash Cover (#Qs) 
SRX.AX,Sierra Rutile Holdings Ltd," 7,011,000 "," (12,041,000)", 0 ," 32,684,000 ",
SSG.AX,Shaver Shop Group Ltd," 32,258,515 "," (1,389,484)"," (26,793,504)"," 13,471,437 ",
ST1.AX,Spirit Technology Solutions Ltd," (3,730,000)"," (11,025,000)"," 10,046,000 "," 7,024,000 ",
STK.AX,Strickland Metals Ltd," (464,000)"," (4,854,000)"," 1,381,000 "," 33,425,000 ",
STM.AX,Sunstone Metals Ltd," (848,000)"," (4,042,000)"," 4,591,000 "," 4,742,000 ",
STN.AX,Saturn Metals Ltd," (363,000)"," (928,000)"," 7,436,000 "," 7,752,000 ",
STP.AX,Step One Clothing Ltd," 4,647,000 "," (571,000)"," 38,313,000 ", 0 ,
SUV.AX,Suvo Strategic Minerals Ltd," (307,000)"," (376,000)"," 645,000 "," 1,779,000 ",
SVL.AX,Silver Mines Ltd," (810,000)"," (3,102,000)", - ," 3,393,000 ",
SVM.AX,Sovereign Metals Ltd," (3,310,000)"," (243,000)"," (13,000)"," 39,437,000 ",
SWM.AX,Seven West Media Ltd," 77,432,000 "," (39,447,000)"," (18,521,000)"," 57,402,000 ",
SWP.AX,Swoop Holdings Ltd," 13,753,021 "," (41,257,225)"," 14,515,664 "," 19,043,911 ",
SXE.AX,Southern Cross Electrical Engineering Ltd," 48,171,000 "," (8,033,000)"," (15,569,000)", 0 ,
SXG.AX,Southern Cross Gold Ltd," (1,246,496)"," (6,053,729)"," 65,524 ", 0 ,
SXL.AX,Southern Cross Media Group Ltd," 56,830,000 "," (20,458,000)"," (72,871,000)"," 12,963,000 ",
SYA.AX,Sayona Mining Ltd," (26,609,000)"," (48,410,000)"," 3,655,000 "," 157,980,000 ",
SYM.AX,Symbio Holdings Ltd," 27,999,000 "," (25,380,000)"," (9,821,000)"," 35,844,000 ",
SYR.AX,Syrah Resources Ltd," (22,714,000)"," (36,960,000)"," 65,621,000 "," 84,889,000 ",
TBN.AX,Tamboran Resources Ltd," (4,512,000)"," (20,430,000)"," 39,350,000 "," 47,817,000 ",
TBR.AX,Tribune Resources Ltd," 15,336,000 "," 2,601,000 "," 16,204,000 "," 7,993,000 ",
TCG.AX,Turaco Gold Ltd," (1,515,000)", 0 ," 6,310,000 "," 8,067,000 ",
TEG.AX,Triangle Energy (Global) Ltd," 135,000 "," (1,707,000)", - ," 5,238,000 ",
TER.AX,Terracom Ltd," 201,623,000 "," 43,167,000 "," (270,691,000)"," 44,032,000 ",
TG6.AX,TG Metals Ltd," (687,000)"," (1,297,000)"," 9,512,000 "," 10,763,000 ",
TLG.AX,Talga Group Ltd," (10,345,000)"," (3,903,000)"," 18,961,000 "," (32,867,000)",
TLM.AX,Talisman Mining Ltd," (747,000)"," (123,000)"," (20,000)"," 7,426,000 ",
TMK.AX,TMK Energy Ltd," (707,000)"," (2,290,000)", - ," 2,215,000 ",
TMS.AX,Tennant Minerals Ltd," (894,000)",," 132,000 "," 2,259,000 ",
TNC.AX,True North Copper Ltd," (6,057,000)"," (2,672,000)"," 9,575,000 "," 1,635,000 ",
TOE.AX,Toro Energy Ltd," (282,000)"," (1,046,000)"," 224,000 "," 2,805,000 ",
TOR.AX,Torque Metals Ltd," (450,000)"," (1,454,000)"," 1,170,000 "," 2,829,000 ",
TRJ.AX,Trajan Group Holdings Ltd," 9,551,000 "," (8,553,000)"," (3,364,000)"," 11,038,000 ",
TRS.AX,Reject Shop Ltd," 111,020,000 "," (12,126,000)"," (99,028,000)"," 77,335,000 ",
TSI.AX,Top Shelf International Holdings Ltd," (3,599,000)"," (1,798,000)"," (6,040,000)"," 2,786,000 ",
TSK.AX,TASK Group Holdings Limited," 345,000 "," (3,972,000)"," 18,000 "," 26,898,000 ",
TTT.AX,Titomic Ltd," (2,274,000)"," (29,000)"," 250,000 "," 1,564,000 ",
TVN.AX,Tivan Ltd," (984,000)"," (108,000)"," 1,924,000 "," 2,861,000 ",
TYX.AX,Tyranna Resources Ltd," (1,675,000)"," (32,000)"," 10,000 "," 10,569,000 ",
UBI.AX,Universal Biosensors Inc," (5,515,000)"," (400,000)"," (46,000)"," 10,595,000 ",
UNI.AX,Universal Store Holdings Ltd," 50,965,000 "," (26,131,000)"," (42,158,000)"," 21,444,000 ",
UNT.AX,Unith Ltd," (840,000)"," (305,000)"," (68,000)"," 1,395,000 ",
VAL.AX,Valor Resources Ltd," (275,000)"," (341,000)"," (934,000)"," 1,955,000 ",
VEE.AX,VEEM Ltd," 6,119,231 "," (5,186,152)"," (1,167,666)"," 2,421,112 ",
VEN.AX,Vintage Energy Ltd," (484,967)"," (491,833)"," (39,158)"," 3,763,702 ",
VHM.AX,Vhm Ltd," 2,469,000 "," (2,443,000)", - ," 13,976,000 ",
VHT.AX,Volpara Health Technologies Ltd," 1,231,000 "," 73,000 "," (126,000)"," 13,190,000 ",
VIT.AX,Vitura Health Ltd," 9,708,325 "," (837,716)"," (6,098,590)"," (18,849,050)",
VLS.AX,Vita Life Sciences Ltd," 4,564,000 "," (85,000)"," (1,046,000)"," 18,750,000 ",
VML.AX,Vital Metals Ltd," (1,545,000)"," (563,000)"," 3,686,000 "," 4,211,000 ",
VMM.AX,Viridis Mining and Minerals Ltd," (455,000)"," (1,484,000)"," 2,904,000 "," 1,568,000 ",
VMS.AX,Venture Minerals Ltd," (1,707,000)", 0 ," 1,791,000 "," 2,072,000 ",
VMT.AX,Vmoto Ltd," 2,978,131 "," (2,767,657)", - , 0 ,
VNL.AX,Vinyl Group Ltd," (559,000)",," (25,000)"," 1,248,000 ",
VR1.AX,Vection Technologies Ltd," (1,198,000)"," (254,000)"," (1,056,000)"," 5,531,000 ",
VRC.AX,Volt Resources Ltd," (1,102,000)"," (276,000)"," 1,232,000 "," 983,000 ",
VUL.AX,Vulcan Energy Resources Ltd," (4,264,000)"," (30,306,000)"," (332,000)"," 78,624,000 ",
VVA.AX,Viva Leisure Ltd," 53,133,036 "," (25,125,735)"," (31,221,386)"," 6,828,484 ",
VYS.AX,Vysarn Ltd," 9,664,934 "," (6,802,828)"," (259,121)"," 8,309,432 ",
WA1.AX,WA1 Resources Ltd," (242,000)"," (6,192,000)"," 2,223,000 "," 18,730 ",
WCN.AX,White Cliff Minerals Ltd," (1,079,000)"," 145,000 "," 4,000 "," 723,000 ",
WGN.AX,Wagners Holding Company Ltd," 16,795,000 "," (14,016,000)"," (3,675,000)"," 11,363,000 ",
WIA.AX,WIA Gold Ltd," (245,000)"," (2,877,000)"," (88,000)"," 6,909,000 ",
WIN.AX,Widgie Nickel Ltd," (519,000)"," (2,960,000)"," (18,000)"," 2,585,000 ",
WKT.AX,Walkabout Resources Ltd," (7,018,000)"," (57,000)"," 9,068,000 "," 6,344,000 ",
WMG.AX,Western Mines Group Ltd," (231,000)"," (595,000)"," 1,058,000 "," 2,104,000 ",
WNX.AX,Wellnex Life Ltd," (2,533,000)"," (13,423,000)"," 16,067,000 "," 583,000 ",
WOA.AX,Wide Open Agriculture Ltd," (2,579,000)"," (3,473,000)"," 6,474,000 "," 4,200,000 ",
WR1.AX,Winsome Resources Ltd," (1,166,000)"," (13,509,000)"," 33,943,000 "," 53,865,000 ",
WSP.AX,Whispir Ltd," 443,000 "," (1,128,000)"," 3,118,000 "," 4,447,000 ",
WTM.AX,Waratah Minerals Ltd," (758,000)"," (747,000)"," 561,000 "," 1,288,000 ",
WWI.AX,West Wits Mining Ltd," (632,000)"," (114,000)"," 1,275,000 "," 909,000 ",
XAM.AX,Xanadu Mines Ltd," (387,000)"," (217,000)"," 2,985,000 "," 7,318,000 ",
XRF.AX,XRF Scientific Ltd," 8,416,518 "," (782,432)"," (3,882,218)"," 10,401,407 ",
YRL.AX,Yandal Resources Ltd," (1,143,000)"," (4,000)"," 3,691,000 "," 5,757,000 ",
ZEO.AX,Zeotech Ltd," (871,000)"," (9,000)"," (9,000)"," 2,297,000 ",
ZNC.AX,Zenith Minerals Ltd," (1,436,000)",, - ," 1,311,000 ",
